Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
Ali Kosh,AK_BM,Phalaris paradoxa L.,Poaceae,Phalaris,W,1,0
Ali Kosh,AK_BM,Pistacia atlantica Desf.,Anacardiaceae,Pistacia,D,0,0
Ali Kosh,AK_BM,Plantago sp.,Plantaginaceae,Plantago,W,0,0
Ali Kosh,AK_BM,Prosopis sp.,Fabaceae,Prosopis,W,0,0
Ali Kosh,AK_BM,Scirpus maritimus L.,Cyperaceae,Scirpus,W,0,0
Ali Kosh,AK_BM,Suaeda sp.,Chenopodiaceae,Suaeda,W,0,0
Ali Kosh,AK_BM,Triticum monococcum/dicoccum spikelet forks,Poaceae,Triticum,D,0,0
Ali Kosh,AK_BM,Triticum boeoticum grains (1/2g),Poaceae,Triticum,W,0,0
Ali Kosh,AK_BM,Triticum dicoccum grains,Poaceae,Triticum,D,1,0
Ali Kosh,AK_BM,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,0,0
Ali Kosh,AK_BM,Vicia/Lathyrus,Fabaceae,Vicia/Lathyrus,W,0,0
Ali Kosh,AK_BM,Viola sp.,Violaceae,Viola,W,0,0
Ali Kosh,AK_MJ,Aegilops crassa,Poaceae,Aegilops,W,0,0
Ali Kosh,AK_MJ,Avena sp.,Poaceae,Avena,W,11,0
Ali Kosh,AK_MJ,Capparis spinosa L.,Capparaceae,Capparis,W,0,0
Ali Kosh,AK_MJ,Cereal indeterminate grains,Poaceae,_,D,1,0
Ali Kosh,AK_MJ,Fumaria sp.,Papaveraceae,Fumaria,W,0,0
Ali Kosh,AK_MJ,Galium sp.,Rubiaceae,Galium,W,0,0
Ali Kosh,AK_MJ,Heliotropium persicum,Boraginaceae,Heliotropium,W,0,0
Ali Kosh,AK_MJ,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,0,0
Ali Kosh,AK_MJ,Hordeum spontaneum/sativum grains,Poaceae,Hordeum,W,2,0
Ali Kosh,AK_MJ,Fabaceae indeterminate small,Fabaceae,_,W,59,0
Ali Kosh,AK_MJ,Lens sp.,Fabaceae,Lens,D,0,0
Ali Kosh,AK_MJ,Linum bienne Miller,Linaceae,Linum,W,0,0
Ali Kosh,AK_MJ,Lithospermum L. sp.,Boraginaceae,Lithospermum,W,0,0
Ali Kosh,AK_MJ,Lolium rigidum Gaudin,Poaceae,Lolium,W,0,0
Ali Kosh,AK_MJ,Malva sp.,Malvaceae,Malva,W,6,0
Ali Kosh,AK_MJ,Phalaris paradoxa L.,Poaceae,Phalaris,W,4,0
Ali Kosh,AK_MJ,Pistacia atlantica Desf.,Anacardiaceae,Pistacia,D,0,0
Ali Kosh,AK_MJ,Plantago sp.,Plantaginaceae,Plantago,W,10,0
Ali Kosh,AK_MJ,Prosopis sp.,Fabaceae,Prosopis,W,5,0
Ali Kosh,AK_MJ,Stipa capensis Thunb.,Poaceae,Stipa,W,1,0
Ali Kosh,AK_MJ,Triticum monococcum/dicoccum spikelet forks,Poaceae,Triticum,D,0,0
Ali Kosh,AK_MJ,Triticum dicoccum grains,Poaceae,Triticum,D,0,0
Ali Kosh,AK_MJ,Vicia/Lathyrus,Fabaceae,Vicia/Lathyrus,W,1,0
Ali Kosh,AK_MJ,Viola sp.,Violaceae,Viola,W,0,0
Anza,AzaI_III,Avena sp.,Poaceae,Avena,W,0,20
Anza,AzaI_III,Cornus mas L.,Cornaceae,Cornus,W,0,20
Anza,AzaI_III,Corylus avellana,Betulaceae,Corylus,W,1,20
Anza,AzaI_III,Poaceae indet.,Poaceae,_,W,1,40
Anza,AzaI_III,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,11,100
Anza,AzaI_III,Hordeum vulgare rachis,Poaceae,Hordeum,D,0,20
Anza,AzaI_III,Lens culinaris Medik.,Fabaceae,Lens,D,4,80
Anza,AzaI_III,Malus sylvestris Miller,Rosaceae,Malus,W,0,20
Anza,AzaI_III,Pisum sativum L.,Fabaceae,Pisum,D,4,40
Anza,AzaI_III,Polygonum aviculare L.,Polygonaceae,Polygonum,W,0,20
Anza,AzaI_III,Polygonum convolvulus L.,Polygonaceae,Polygonum,W,1,40
Anza,AzaI_III,Triticum monococcum/dicoccum spikelet forks,Poaceae,Triticum,D,16,60
Anza,AzaI_III,Triticum dicoccum grains,Poaceae,Triticum,D,47,100
Anza,AzaI_III,Triticum species free threshing wheat hexaploid grains,Poaceae,Triticum,D,9,20
Anza,AzaI_III,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,6,80
Anza,AzaI_III,Utricularia vulgaris L.,Lentibulariaceae,Utricularia,W,0,20
Anza,AzaI_III,Vicia sp.,Fabaceae,Vicia,D,1,20
Anza,AzaI_III,Vitis sylvestris Gmelin,Vitaceae,Vitis,W,0,20
Anza,AzaIV,Chenopodium album L.,Chenopodiaceae,Chenopodium,W,12,0
Anza,AzaIV,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,2,0
